tenant_id,property_id,preferred_city,property_city,max_budget,monthly_rent,budget_gap,min_bedrooms,property_bedrooms,city_match,budget_match,bedroom_match,furnishing_match,parking_match,amenity_match,match_score,match_label,approx_distance_km,distance_match
T00001,P00410,Mumbai,Bangalore,20791,11000,0,2,2,0,1,1,0,1,0,0.5,0,854.0,0
T00001,P01825,Mumbai,Chennai,20791,11000,0,2,2,0,1,1,0,1,0,0.5,0,1036.2,0
T00001,P00321,Mumbai,Mumbai,20791,60000,39209.0,2,2,1,0,1,0,1,1,0.66,1,3.3,1
T00002,P04507,Delhi,Hyderabad,95276,10000,0,3,2,0,1,0,0,1,0,0.32,0,1262.5,0
T00002,P05241,Delhi,Delhi,95276,92400,0,3,3,1,1,1,0,1,1,0.88,1,4.4,1
T00002,P04013,Delhi,Mumbai,95276,18000,0,3,1,0,1,0,0,1,0,0.32,0,1149.5,0
T00003,P00561,Kolkata,Kolkata,117670,13000,0,1,2,1,1,1,0,1,1,0.88,1,8.2,1
T00003,P03658,Kolkata,Hyderabad,117670,6200,0,1,1,0,1,1,0,1,0,0.5,0,1189.6,0
T00003,P02287,Kolkata,Kolkata,117670,10500,0,1,2,1,1,1,0,1,1,0.88,1,10.5,1
T00004,P08936,Bangalore,Bangalore,99104,6900,0,1,1,1,1,1,0,1,0,0.8,1,2.8,1
T00004,P01680,Bangalore,Delhi,99104,20000,0,1,1,0,1,1,0,1,0,0.5,0,1740.0,0
T00004,P00481,Bangalore,Bangalore,99104,75000,0,1,4,1,1,1,0,1,1,0.88,1,11.3,1
T00005,P01425,Delhi,Mumbai,23241,600000,576759.0,1,5,0,0,1,0,1,1,0.36,0,1152.4,0
T00005,P01881,Delhi,Delhi,23241,9500,0,1,1,1,1,1,0,1,1,0.88,1,4.4,1
T00005,P09675,Delhi,Mumbai,23241,152400,129159.0,1,3,0,0,1,0,1,1,0.36,0,1154.1,0
T00006,P00521,Delhi,Hyderabad,22610,25000,2390.0,2,2,0,0,1,0,1,0,0.28,0,1257.0,0
T00006,P06913,Delhi,Bangalore,22610,7900,0,2,1,0,1,0,0,1,0,0.32,0,1739.6,0
T00006,P00441,Delhi,Delhi,22610,12000,0,2,2,1,1,1,0,1,1,0.88,1,10.5,0
T00007,P03721,Mumbai,Mumbai,69049,55000,0,3,3,1,1,1,0,1,1,0.88,1,10.3,1
T00007,P00489,Mumbai,Delhi,69049,30000,0,3,3,0,1,1,0,1,1,0.58,0,1153.0,0
T00007,P01536,Mumbai,Chennai,69049,45000,0,3,3,0,1,1,0,1,0,0.5,0,1038.0,0
T00008,P00561,Kolkata,Kolkata,19897,13000,0,1,2,1,1,1,0,1,1,0.88,1,6.0,0
T00008,P03583,Kolkata,Delhi,19897,20500,603.0,1,2,0,0,1,0,1,0,0.28,0,1306.7,0
T00008,P03812,Kolkata,Delhi,19897,16000,0,1,3,0,1,1,0,1,0,0.5,0,1306.1,0
T00009,P08280,Delhi,Delhi,65768,65200,0,1,3,1,1,1,0,1,0,0.8,1,9.8,1
T00009,P09864,Delhi,Delhi,65768,7100,0,1,2,1,1,1,0,1,0,0.8,1,8.0,1
T00009,P00121,Delhi,Delhi,65768,20000,0,1,2,1,1,1,0,1,1,0.88,1,7.0,1
T00010,P01521,Chennai,Chennai,65798,19000,0,2,2,1,1,1,0,1,1,0.88,1,10.0,1
T00010,P00435,Chennai,Mumbai,65798,48000,0,2,2,0,1,1,0,1,1,0.58,0,1032.7,0
T00010,P09196,Chennai,Delhi,65798,13200,0,2,2,0,1,1,0,0,1,0.48,0,1757.1,0
T00011,P01121,Kolkata,Kolkata,105643,20000,0,3,3,1,1,1,0,1,0,0.8,1,5.5,0
T00011,P08929,Kolkata,Chennai,105643,16100,0,3,2,0,1,0,0,1,0,0.32,0,1365.5,0
T00011,P03258,Kolkata,Delhi,105643,12500,0,3,1,0,1,0,0,1,1,0.4,0,1310.7,0
T00012,P03612,Hyderabad,Chennai,35346,40000,4654.0,2,4,0,0,1,0,1,0,0.28,0,516.4,0
T00012,P02161,Hyderabad,Hyderabad,35346,8000,0,2,2,1,1,1,0,1,1,0.88,1,7.6,1
T00012,P06874,Hyderabad,Hyderabad,35346,17400,0,2,2,1,1,1,0,0,1,0.78,1,6.4,1
T00013,P09655,Mumbai,Bangalore,108608,47600,0,3,4,0,1,1,0,1,0,0.5,0,852.5,0
T00013,P03001,Mumbai,Mumbai,108608,84000,0,3,3,1,1,1,0,1,1,0.88,1,9.9,1
T00013,P07360,Mumbai,Bangalore,108608,10500,0,3,2,0,1,0,0,1,0,0.32,0,847.9,0
T00014,P00107,Delhi,Mumbai,83135,680000,596865.0,2,4,0,0,1,0,1,0,0.28,0,1152.9,0
T00014,P04558,Delhi,Bangalore,83135,10000,0,2,2,0,1,1,0,0,0,0.4,0,1744.9,0
T00014,P02241,Delhi,Delhi,83135,25000,0,2,3,1,1,1,0,1,1,0.88,1,9.4,0
T00015,P06925,Chennai,Mumbai,102447,24700,0,3,1,0,1,0,0,1,1,0.4,0,1041.2,0
T00015,P02616,Chennai,Chennai,102447,12000,0,3,2,1,1,0,0,1,1,0.7,1,4.2,1
T00015,P04361,Chennai,Chennai,102447,20000,0,3,3,1,1,1,0,1,1,0.88,1,10.0,1
T00016,P05575,Bangalore,Mumbai,79707,65100,0,3,2,0,1,0,0,1,0,0.32,0,851.0,0
T00016,P00481,Bangalore,Bangalore,79707,75000,0,3,4,1,1,1,0,1,1,0.88,1,2.4,1
T00016,P04553,Bangalore,Chennai,79707,13000,0,3,3,0,1,1,0,1,0,0.5,0,298.1,0
T00017,P00561,Kolkata,Kolkata,49564,13000,0,2,2,1,1,1,0,1,1,0.88,1,10.8,1
T00017,P02548,Kolkata,Kolkata,49564,4500,0,2,2,1,1,1,0,1,0,0.8,1,5.1,1
T00017,P03528,Kolkata,Chennai,49564,16000,0,2,2,0,1,1,0,1,0,0.5,0,1364.7,0
T00018,P01675,Bangalore,Chennai,32596,16000,0,1,2,0,1,1,0,1,1,0.58,0,291.7,0
T00018,P05515,Bangalore,Chennai,32596,9700,0,1,1,0,1,1,0,0,0,0.4,0,292.5,0
T00018,P00081,Bangalore,Bangalore,32596,16000,0,1,2,1,1,1,0,1,1,0.88,1,3.9,1
T00019,P00841,Bangalore,Bangalore,63025,55000,0,3,3,1,1,1,0,1,1,0.88,1,3.3,1
T00019,P06225,Bangalore,Chennai,63025,17900,0,3,3,0,1,1,0,1,1,0.58,0,291.6,0
