tenant_id,property_id,preferred_city,property_city,max_budget,monthly_rent,budget_gap,min_bedrooms,property_bedrooms,city_match,budget_match,bedroom_match,furnishing_match,parking_match,amenity_match,match_score,match_label,approx_distance_km,distance_match,property_type_match,budget_score,recommendation_score
T05707,P00008,Delhi,Delhi,48965,13000,0.0,3,3,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T05571,P00054,Bangalore,Bangalore,98908,11400,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T00837,P00060,Chennai,Chennai,101563,40000,0.0,3,3,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T00004,P00064,Bangalore,Bangalore,99104,5000,0.0,1,1,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T01021,P00075,Kolkata,Kolkata,92955,6500,0.0,1,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T05857,P00085,Hyderabad,Hyderabad,22542,8500,0.0,1,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T00258,P00088,Bangalore,Bangalore,80721,8200,0.0,1,1,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T02398,P00089,Chennai,Chennai,33750,15000,0.0,3,3,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T05605,P00093,Delhi,Delhi,79226,9000,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T04665,P00102,Kolkata,Kolkata,59597,14000,0.0,3,3,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T00802,P00106,Kolkata,Kolkata,73287,15000,0.0,1,3,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T05916,P00120,Delhi,Delhi,48060,12500,0.0,2,3,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T05124,P00174,Delhi,Delhi,93311,90000,0.0,3,3,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T02991,P00184,Bangalore,Bangalore,111027,8500,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T00334,P00193,Bangalore,Bangalore,105445,16500,0.0,1,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T05973,P00224,Mumbai,Mumbai,94641,65000,0.0,2,3,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T01283,P00227,Kolkata,Kolkata,57286,10000,0.0,3,3,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
