city,area_locality,year_month,property_count,application_count,agreement_start_count,average_monthly_rent,demand_lag_1_month,demand_lag_2_month,demand_growth_1_month,next_month_demand,occupancy_rate,vacancy_rate,available_unit_count
Bangalore,"A Narayanapura, Mahadevapura",2024-01,1,0,0,15000.0,0,0,0.0,0,0,1,0
Bangalore,"A Narayanapura, Mahadevapura",2024-02,1,0,0,15000.0,0,0,0.0,0,0,1,0
Bangalore,"A Narayanapura, Mahadevapura",2024-03,1,0,0,15000.0,0,0,0.0,1,0,1,0
Bangalore,"A Narayanapura, Mahadevapura",2024-04,1,1,0,15000.0,0,0,1.0,1,0,1,0
Bangalore,"A Narayanapura, Mahadevapura",2024-05,1,1,0,15000.0,1,0,0.0,0,0,1,0
Bangalore,"A Narayanapura, Mahadevapura",2024-06,1,0,0,15000.0,1,0,-1.0,0,0,1,0
Bangalore,"A Narayanapura, Mahadevapura",2024-07,1,0,0,15000.0,0,0,0.0,0,0,1,0
Bangalore,"A Narayanapura, Mahadevapura",2024-08,1,0,0,15000.0,0,0,0.0,0,0,1,0
Bangalore,"A Narayanapura, Mahadevapura",2024-09,1,0,0,15000.0,0,0,0.0,0,0,1,0
Bangalore,"A Narayanapura, Mahadevapura",2024-10,1,0,0,15000.0,0,0,0.0,0,0,1,0
Bangalore,"A Narayanapura, Mahadevapura",2024-11,1,0,0,15000.0,0,0,0.0,0,0,1,0
Bangalore,"A Narayanapura, Mahadevapura",2024-12,1,0,0,15000.0,0,0,0.0,0,0,1,0
Bangalore,"A Narayanapura, Mahadevapura",2025-01,1,0,0,15000.0,0,0,0.0,0,0,1,0
Bangalore,"A Narayanapura, Mahadevapura",2025-02,1,0,0,15000.0,0,0,0.0,0,0,1,0
Bangalore,"A Narayanapura, Mahadevapura",2025-03,1,0,0,15000.0,0,0,0.0,0,0,1,0
Bangalore,"A Narayanapura, Mahadevapura",2025-04,1,0,0,15000.0,0,0,0.0,0,0,1,0
Bangalore,"A Narayanapura, Mahadevapura",2025-05,1,0,0,15000.0,0,0,0.0,0,0,1,0
Bangalore,"A Narayanapura, Mahadevapura",2025-06,1,0,0,15000.0,0,1,0.0,0,0,1,0
Bangalore,"A Narayanapura, Mahadevapura",2025-07,1,0,0,15000.0,0,1,0.0,0,0,1,0
Bangalore,"A Narayanapura, Mahadevapura",2025-08,1,0,0,15000.0,0,0,0.0,0,0,1,0
Bangalore,"A Narayanapura, Mahadevapura",2025-09,1,0,0,15000.0,0,0,0.0,1,0,1,0
Bangalore,"A Narayanapura, Mahadevapura",2025-10,1,1,0,15000.0,0,0,1.0,0,0,1,0
Bangalore,"A Narayanapura, Mahadevapura",2025-11,1,0,0,15000.0,1,0,-1.0,0,0,1,0
Bangalore,"A Narayanapura, Mahadevapura",2025-12,1,0,0,15000.0,0,0,0.0,0,0,1,0
Bangalore,"A Narayanapura, Mahadevapura",2026-01,1,0,0,15000.0,0,0,0.0,0,0,1,0
Bangalore,"A Narayanapura, Mahadevapura",2026-02,1,0,0,15000.0,0,0,0.0,0,0,1,0
Bangalore,"A Narayanapura, Mahadevapura",2026-03,1,0,0,15000.0,0,0,0.0,0,0,1,0
Bangalore,"A Narayanapura, Mahadevapura",2026-04,1,0,0,15000.0,0,0,0.0,0,0,1,0
Bangalore,"A Narayanapura, Mahadevapura",2026-05,1,0,0,15000.0,0,0,0.0,0,0,1,0
Bangalore,"A Narayanapura, Mahadevapura",2026-06,1,0,0,15000.0,0,0,0.0,0,0,1,0
Bangalore,Aarna Enclave,2024-01,2,0,0,86400.0,0,0,0.0,0,0,1,0
Bangalore,Aarna Enclave,2024-02,2,0,0,86400.0,0,0,0.0,0,0,1,0
Bangalore,Aarna Enclave,2024-03,2,0,0,86400.0,0,0,0.0,0,0,1,0
Bangalore,Aarna Enclave,2024-04,2,0,0,86400.0,0,0,0.0,0,0,1,0
Bangalore,Aarna Enclave,2024-05,2,0,0,86400.0,0,0,0.0,0,0,1,0
Bangalore,Aarna Enclave,2024-06,2,0,0,86400.0,0,0,0.0,0,0,1,0
Bangalore,Aarna Enclave,2024-07,2,0,0,86400.0,0,0,0.0,0,0,1,0
Bangalore,Aarna Enclave,2024-08,2,0,0,86400.0,0,0,0.0,0,0,1,0
Bangalore,Aarna Enclave,2024-09,2,0,0,86400.0,0,0,0.0,0,0,1,0
Bangalore,Aarna Enclave,2024-10,2,0,0,86400.0,0,0,0.0,0,0,1,0
Bangalore,Aarna Enclave,2024-11,2,0,0,86400.0,0,0,0.0,0,0,1,0
Bangalore,Aarna Enclave,2024-12,2,0,0,86400.0,0,0,0.0,0,0,1,0
Bangalore,Aarna Enclave,2025-01,2,0,0,86400.0,0,0,0.0,0,0,1,0
Bangalore,Aarna Enclave,2025-02,2,0,0,86400.0,0,0,0.0,0,0,1,0
Bangalore,Aarna Enclave,2025-03,2,0,0,86400.0,0,0,0.0,1,0,1,0
Bangalore,Aarna Enclave,2025-04,2,1,0,86400.0,0,0,1.0,0,0,1,0
Bangalore,Aarna Enclave,2025-05,2,0,0,86400.0,1,0,-1.0,0,0,1,0
Bangalore,Aarna Enclave,2025-06,2,0,0,86400.0,0,0,0.0,0,0,1,0
Bangalore,Aarna Enclave,2025-07,2,0,0,86400.0,0,0,0.0,0,0,1,0
Bangalore,Aarna Enclave,2025-08,2,0,0,86400.0,0,0,0.0,0,0,1,0
Bangalore,Aarna Enclave,2025-09,2,0,0,86400.0,0,0,0.0,0,0,1,0
Bangalore,Aarna Enclave,2025-10,2,0,0,86400.0,0,0,0.0,1,0,1,0
Bangalore,Aarna Enclave,2025-11,2,1,0,86400.0,0,0,1.0,2,0,1,0
Bangalore,Aarna Enclave,2025-12,2,2,0,86400.0,1,0,1.0,0,0,1,0
Bangalore,Aarna Enclave,2026-01,2,0,0,86400.0,2,0,-1.0,0,0,1,0
Bangalore,Aarna Enclave,2026-02,2,0,0,86400.0,0,2,0.0,0,0,1,0
Bangalore,Aarna Enclave,2026-03,2,0,0,86400.0,0,0,0.0,0,0,1,0
Bangalore,Aarna Enclave,2026-04,2,0,0,86400.0,0,0,0.0,0,0,1,0
Bangalore,Aarna Enclave,2026-05,2,0,0,86400.0,0,0,0.0,0,0,1,0
Bangalore,Aarna Enclave,2026-06,2,0,0,86400.0,0,1,0.0,0,0,1,0
Bangalore,"Abbiareddy Layout, Kaggadasapura",2024-01,2,0,0,21750.0,0,0,0.0,1,0,1,0
Bangalore,"Abbiareddy Layout, Kaggadasapura",2024-02,2,1,0,21750.0,0,0,1.0,0,0,1,0
Bangalore,"Abbiareddy Layout, Kaggadasapura",2024-03,2,0,0,21750.0,1,0,-1.0,0,0,1,0
Bangalore,"Abbiareddy Layout, Kaggadasapura",2024-04,2,0,0,21750.0,0,0,0.0,0,0,1,0
Bangalore,"Abbiareddy Layout, Kaggadasapura",2024-05,2,0,0,21750.0,0,0,0.0,0,0,1,0
Bangalore,"Abbiareddy Layout, Kaggadasapura",2024-06,2,0,0,21750.0,0,0,0.0,0,0,1,0
Bangalore,"Abbiareddy Layout, Kaggadasapura",2024-07,2,0,0,21750.0,0,0,0.0,0,0,1,0
Bangalore,"Abbiareddy Layout, Kaggadasapura",2024-08,2,0,0,21750.0,0,0,0.0,0,0,1,0
Bangalore,"Abbiareddy Layout, Kaggadasapura",2024-09,2,0,0,21750.0,0,0,0.0,0,0,1,0
Bangalore,"Abbiareddy Layout, Kaggadasapura",2024-10,2,0,0,21750.0,0,0,0.0,0,0,1,0
Bangalore,"Abbiareddy Layout, Kaggadasapura",2024-11,2,0,0,21750.0,0,0,0.0,0,0,1,0
Bangalore,"Abbiareddy Layout, Kaggadasapura",2024-12,2,0,0,21750.0,0,0,0.0,0,0,1,0
Bangalore,"Abbiareddy Layout, Kaggadasapura",2025-01,2,0,0,21750.0,0,0,0.0,1,0,1,0
Bangalore,"Abbiareddy Layout, Kaggadasapura",2025-02,2,1,0,21750.0,0,0,1.0,0,0,1,0
Bangalore,"Abbiareddy Layout, Kaggadasapura",2025-03,2,0,0,21750.0,1,0,-1.0,0,0,1,0
Bangalore,"Abbiareddy Layout, Kaggadasapura",2025-04,2,0,0,21750.0,0,1,0.0,1,0,1,0
Bangalore,"Abbiareddy Layout, Kaggadasapura",2025-05,2,1,0,21750.0,0,0,1.0,0,0,1,0
Bangalore,"Abbiareddy Layout, Kaggadasapura",2025-06,2,0,0,21750.0,1,0,-1.0,0,0,1,0
Bangalore,"Abbiareddy Layout, Kaggadasapura",2025-07,2,0,0,21750.0,0,0,0.0,0,0,1,0
Bangalore,"Abbiareddy Layout, Kaggadasapura",2025-08,2,0,0,21750.0,0,0,0.0,0,0,1,0
Bangalore,"Abbiareddy Layout, Kaggadasapura",2025-09,2,0,0,21750.0,0,0,0.0,1,0,1,0
Bangalore,"Abbiareddy Layout, Kaggadasapura",2025-10,2,1,0,21750.0,0,0,1.0,0,0,1,0
Bangalore,"Abbiareddy Layout, Kaggadasapura",2025-11,2,0,0,21750.0,1,0,-1.0,0,0,1,0
Bangalore,"Abbiareddy Layout, Kaggadasapura",2025-12,2,0,0,21750.0,0,0,0.0,0,0,1,0
Bangalore,"Abbiareddy Layout, Kaggadasapura",2026-01,2,0,0,21750.0,0,0,0.0,0,0,1,0
Bangalore,"Abbiareddy Layout, Kaggadasapura",2026-02,2,0,0,21750.0,0,0,0.0,0,0,1,0
Bangalore,"Abbiareddy Layout, Kaggadasapura",2026-03,2,0,0,21750.0,0,0,0.0,0,0,1,0
Bangalore,"Abbiareddy Layout, Kaggadasapura",2026-04,2,0,0,21750.0,0,1,0.0,0,0,1,0
Bangalore,"Abbiareddy Layout, Kaggadasapura",2026-05,2,0,0,21750.0,0,0,0.0,0,0,1,0
Bangalore,"Abbiareddy Layout, Kaggadasapura",2026-06,2,0,0,21750.0,0,0,0.0,0,0,1,0
Bangalore,Abbigere,2024-01,5,0,0,9800.0,0,0,0.0,0,0,1,0
Bangalore,Abbigere,2024-02,5,0,0,9800.0,0,0,0.0,1,0,1,0
Bangalore,Abbigere,2024-03,5,1,0,9800.0,0,0,1.0,0,0,1,0
Bangalore,Abbigere,2024-04,5,0,0,9800.0,1,0,-1.0,3,0,1,0
Bangalore,Abbigere,2024-05,5,3,4,9800.0,0,0,3.0,1,0,1,0
Bangalore,Abbigere,2024-06,5,1,2,9800.0,3,0,-0.6667,0,0,1,0
Bangalore,Abbigere,2024-07,5,0,2,9800.0,1,0,-1.0,0,0,1,0
Bangalore,Abbigere,2024-08,5,0,0,9800.0,0,0,0.0,1,0,1,0
Bangalore,Abbigere,2024-09,5,1,0,9800.0,0,0,1.0,0,0,1,0
Bangalore,Abbigere,2024-10,5,0,1,9800.0,1,0,-1.0,0,0,1,0
Bangalore,Abbigere,2024-11,5,0,0,9800.0,0,0,0.0,0,0,1,0
Bangalore,Abbigere,2024-12,5,0,0,9800.0,0,0,0.0,0,0,1,0
Bangalore,Abbigere,2025-01,5,0,0,9800.0,0,0,0.0,3,0,1,0
Bangalore,Abbigere,2025-02,5,3,0,9800.0,0,0,3.0,1,0,1,0
Bangalore,Abbigere,2025-03,5,1,0,9800.0,3,0,-0.6667,1,0,1,0
Bangalore,Abbigere,2025-04,5,1,1,9800.0,1,0,0.0,0,0,1,0
Bangalore,Abbigere,2025-05,5,0,0,9800.0,1,1,-1.0,0,0,1,0
Bangalore,Abbigere,2025-06,5,0,5,9800.0,0,0,0.0,1,0,1,0
Bangalore,Abbigere,2025-07,5,1,0,9800.0,0,3,1.0,1,0,1,0
Bangalore,Abbigere,2025-08,5,1,0,9800.0,1,1,0.0,2,0,1,0
Bangalore,Abbigere,2025-09,5,2,0,9800.0,1,0,1.0,1,0,1,0
Bangalore,Abbigere,2025-10,5,1,0,9800.0,2,0,-0.5,0,0,1,0
Bangalore,Abbigere,2025-11,5,0,0,9800.0,1,1,-1.0,0,0,1,0
Bangalore,Abbigere,2025-12,5,0,0,9800.0,0,0,0.0,0,0,1,0
Bangalore,Abbigere,2026-01,5,0,0,9800.0,0,0,0.0,0,0,1,0
Bangalore,Abbigere,2026-02,5,0,0,9800.0,0,0,0.0,0,0,1,0
Bangalore,Abbigere,2026-03,5,0,0,9800.0,0,0,0.0,0,0,1,0
Bangalore,Abbigere,2026-04,5,0,0,9800.0,0,3,0.0,0,0,1,0
Bangalore,Abbigere,2026-05,5,0,0,9800.0,0,1,0.0,0,0,1,0
Bangalore,Abbigere,2026-06,5,0,0,9800.0,0,1,0.0,0,0,1,0
Bangalore,"Aditya Nagar-Vidyaranyapura, Vidyaranyapura",2024-01,3,0,0,9800.0,0,0,0.0,0,0,1,0
Bangalore,"Aditya Nagar-Vidyaranyapura, Vidyaranyapura",2024-02,3,0,0,9800.0,0,0,0.0,0,0,1,0
Bangalore,"Aditya Nagar-Vidyaranyapura, Vidyaranyapura",2024-03,3,0,0,9800.0,0,0,0.0,0,0,1,0
Bangalore,"Aditya Nagar-Vidyaranyapura, Vidyaranyapura",2024-04,3,0,0,9800.0,0,0,0.0,0,0,1,0
Bangalore,"Aditya Nagar-Vidyaranyapura, Vidyaranyapura",2024-05,3,0,0,9800.0,0,0,0.0,1,0,1,0
