tenant_id,snapshot_month,monthly_income,historical_invoice_count,late_payment_count,missed_payment_count,avg_days_late,max_days_late,historical_outstanding,rent_to_income_ratio,payment_completion_ratio,risk_label,data_split
T00009,2025-06,164766,2.0,2.0,0,2.5,3,0.0,0.30346066542854716,1.0,0,train
T00009,2025-07,164766,3.0,3.0,0,2.6666666666666665,3,0.0,0.30346066542854716,1.0,0,validation
T00009,2025-08,164766,3.0,3.0,0,2.6666666666666665,3,0.0,0.0,1.0,0,validation
T00009,2025-09,164766,4.0,3.0,0,2.6666666666666665,3,0.0,0.30346066542854716,1.0,1,validation
T00009,2025-10,164766,4.0,3.0,0,2.6666666666666665,3,0.0,0.0,1.0,0,test
T00009,2025-11,164766,5.0,3.0,0,2.6666666666666665,3,0.0,0.30346066542854716,1.0,0,test
T00009,2025-12,164766,6.0,3.0,1,2.6666666666666665,3,50500.0,0.30346066542854716,0.8333333333333334,0,test
T00011,2024-10,234437,2.0,1.0,1,3.0,3,13700.0,0.05630510542277883,0.5,0,train
T00011,2024-11,234437,3.0,2.0,1,2.5,3,13700.0,0.05630510542277883,0.6666666666666666,0,train
T00011,2024-12,234437,4.0,3.0,1,3.3333333333333335,5,13700.0,0.05630510542277883,0.75,0,train
T00011,2025-01,234437,5.0,3.0,1,3.3333333333333335,5,13700.0,0.05630510542277883,0.8,0,train
T00011,2025-02,234437,6.0,3.0,1,3.3333333333333335,5,13700.0,0.05630510542277883,0.8333333333333334,1,train
T00011,2025-03,234437,6.0,3.0,1,3.3333333333333335,5,13700.0,0.0,0.8333333333333334,1,train
T00011,2025-04,234437,6.0,3.0,1,3.3333333333333335,5,13700.0,0.0,0.8333333333333334,1,train
T00011,2025-05,234437,7.0,3.0,2,3.3333333333333335,5,27400.0,0.05630510542277883,0.7142857142857143,1,train
T00011,2025-06,234437,8.0,4.0,2,5.0,10,27400.0,0.05630510542277883,0.75,0,train
T00011,2025-07,234437,9.0,5.0,2,5.4,10,27400.0,0.05630510542277883,0.7777777777777778,1,validation
T00011,2025-08,234437,10.0,5.0,3,5.4,10,41100.0,0.05630510542277883,0.7,0,validation
T00015,2024-03,198991,2.0,1.0,1,1.0,1,12500.0,0.12060846972978677,0.5,1,train
T00015,2024-04,198991,4.0,1.0,3,1.0,1,37500.0,0.12060846972978677,0.25,0,train
T00015,2024-05,198991,6.0,3.0,3,12.0,30,37500.0,0.12060846972978677,0.5,0,train
T00015,2024-06,198991,8.0,3.0,3,12.0,30,37500.0,0.12060846972978677,0.625,1,train
T00015,2024-07,198991,10.0,3.0,4,12.0,30,50000.0,0.12060846972978677,0.6,1,train
T00015,2024-08,198991,12.0,6.0,3,11.5,30,37500.0,0.12060846972978677,0.75,1,train
T00015,2024-09,198991,14.0,6.0,5,11.5,30,62500.0,0.12060846972978677,0.6428571428571429,1,train
T00015,2024-10,198991,16.0,8.0,5,14.5,45,62500.0,0.12060846972978677,0.6875,1,train
T00015,2024-11,198991,17.0,9.0,5,17.88888888888889,45,62500.0,0.060304234864893384,0.7058823529411765,1,train
T00015,2024-12,198991,18.0,9.0,5,17.88888888888889,45,62500.0,0.060304234864893384,0.7222222222222222,1,train
T00015,2025-01,198991,20.0,10.0,6,16.8,45,75000.0,0.12060846972978677,0.7,1,train
T00015,2025-02,198991,22.0,10.0,7,16.8,45,87500.0,0.12060846972978677,0.6818181818181818,1,train
T00018,2025-03,179745,2.0,1.0,1,3.0,3,680500.0,7.566274444351721,0.5,0,train
T00018,2025-04,179745,3.0,2.0,1,2.5,3,680500.0,3.7831372221758603,0.6666666666666666,0,train
T00018,2025-05,179745,5.0,3.0,1,2.3333333333333335,3,680500.0,7.566274444351721,0.8,0,train
T00018,2025-06,179745,7.0,3.0,2,2.3333333333333335,3,1361000.0,7.566274444351721,0.7142857142857143,0,train
T00018,2025-07,179745,9.0,4.0,2,3.5,7,1361000.0,7.566274444351721,0.7777777777777778,1,validation
T00018,2025-08,179745,11.0,5.0,3,3.0,7,2041500.0,7.566274444351721,0.7272727272727273,0,validation
T00018,2025-09,179745,12.0,6.0,3,2.6666666666666665,7,2041500.0,3.7831372221758603,0.75,0,validation
T00018,2025-10,179745,14.0,7.0,4,2.4285714285714284,7,2722000.0,3.950040334918913,0.7142857142857143,0,test
