tenant_id,snapshot_month,monthly_income,historical_invoice_count,late_payment_count,missed_payment_count,avg_days_late,max_days_late,historical_outstanding,rent_to_income_ratio,payment_completion_ratio,risk_label,data_split,late_payment_count_delta,missed_payment_count_delta,recent_late_payment_count_3m,recent_missed_payment_count_3m,recent_avg_days_late_3m,recent_payment_completion_ratio_3m,recent_late_payment_count_6m,recent_missed_payment_count_6m,recent_avg_days_late_6m,recent_payment_completion_ratio_6m,late_payment_trend,missed_payment_trend,payment_completion_trend
T00383,2024-01-01,75031,3.0,3.0,0,6.333333333333333,10,0.0,1.1995042049286295,1.0,1,train,3.0,0.0,3.0,0.0,6.333333333333333,1.0,3.0,0.0,6.333333333333333,1.0,0.0,0.0,0.0
T02075,2024-01-01,73938,2.0,1.0,0,1.0,1,0.0,0.5950931861830182,1.0,1,train,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
T03327,2024-01-01,233440,2.0,2.0,0,6.5,10,0.0,0.1876285126799177,1.0,0,train,2.0,0.0,2.0,0.0,6.5,1.0,2.0,0.0,6.5,1.0,0.0,0.0,0.0
T03577,2024-01-01,118087,2.0,1.0,0,10.0,10,0.0,0.4403532988389916,1.0,1,train,1.0,0.0,1.0,0.0,10.0,1.0,1.0,0.0,10.0,1.0,0.0,0.0,0.0
T03990,2024-01-01,186170,2.0,0.0,0,0.0,0,0.0,0.0966858247837997,1.0,0,train,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
T05054,2024-01-01,32618,2.0,1.0,0,3.0,3,0.0,1.0852903304923662,1.0,0,train,1.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0
T05262,2024-01-01,144007,3.0,3.0,0,3.333333333333333,5,0.0,0.4603942863888561,1.0,0,train,3.0,0.0,3.0,0.0,3.333333333333333,1.0,3.0,0.0,3.333333333333333,1.0,0.0,0.0,0.0
T05517,2024-01-01,117470,2.0,0.0,2,0.0,0,31600.0,0.260492040520984,0.0,0,train,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
T00032,2024-02-01,181480,2.0,1.0,0,3.0,3,0.0,0.0914701344500771,1.0,0,train,1.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0
T00053,2024-02-01,216410,2.0,1.0,1,5.0,5,42500.0,0.3881521186636477,0.5,1,train,1.0,1.0,1.0,1.0,5.0,0.5,1.0,1.0,5.0,0.5,0.0,0.0,0.0
T00137,2024-02-01,211842,2.0,0.0,2,0.0,0,35000.0,0.0802484870799935,0.0,0,train,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
T00241,2024-02-01,181433,2.0,0.0,1,0.0,0,12500.0,0.1322802356792865,0.5,1,train,0.0,1.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,0.0
T00246,2024-02-01,120792,2.0,1.0,0,10.0,10,0.0,1.4073779720511292,1.0,0,train,1.0,0.0,1.0,0.0,10.0,1.0,1.0,0.0,10.0,1.0,0.0,0.0,0.0
