amenity_id,property_id,amenity
A000001,P00001,GYM
A000002,P00001,PARKING
A000003,P00002,CLUBHOUSE
A000004,P00002,AIR_CONDITIONING
A000005,P00002,PARKING
A000006,P00003,CLUBHOUSE
A000007,P00003,LIFT
A000008,P00003,SECURITY
A000009,P00003,PARKING
A000010,P00004,SECURITY
A000011,P00004,POWER_BACKUP
A000012,P00004,GYM
A000013,P00005,GARDEN
A000014,P00005,GYM
A000015,P00005,AIR_CONDITIONING
A000016,P00005,SWIMMING_POOL
A000017,P00005,POWER_BACKUP
A000018,P00005,WIFI
A000019,P00006,GYM
A000020,P00006,POWER_BACKUP
A000021,P00006,SWIMMING_POOL
A000022,P00006,CLUBHOUSE
A000023,P00006,GARDEN
A000024,P00006,AIR_CONDITIONING
A000025,P00007,SWIMMING_POOL
A000026,P00007,LIFT
A000027,P00007,POWER_BACKUP
A000028,P00007,GARDEN
A000029,P00007,PARKING
A000030,P00008,SECURITY
A000031,P00008,PARKING
A000032,P00008,POWER_BACKUP
A000033,P00008,WIFI
A000034,P00008,LIFT
A000035,P00008,AIR_CONDITIONING
A000036,P00009,GARDEN
A000037,P00009,WIFI
A000038,P00010,POWER_BACKUP
A000039,P00010,GARDEN
A000040,P00010,PARKING
A000041,P00010,CLUBHOUSE
A000042,P00010,WIFI
A000043,P00011,GARDEN
A000044,P00011,PARKING
A000045,P00012,LIFT
A000046,P00012,POWER_BACKUP
A000047,P00012,AIR_CONDITIONING
A000048,P00012,CLUBHOUSE
A000049,P00012,GARDEN
A000050,P00012,SWIMMING_POOL
A000051,P00013,WIFI
A000052,P00013,PARKING
A000053,P00013,GYM
A000054,P00014,LIFT
A000055,P00014,GARDEN
A000056,P00015,GYM
A000057,P00015,SECURITY
A000058,P00015,AIR_CONDITIONING
A000059,P00015,WIFI
A000060,P00015,PARKING
A000061,P00015,CLUBHOUSE
A000062,P00016,AIR_CONDITIONING
A000063,P00016,SWIMMING_POOL
A000064,P00016,LIFT
A000065,P00016,PARKING
A000066,P00016,GYM
A000067,P00017,CLUBHOUSE
A000068,P00017,POWER_BACKUP
A000069,P00017,GARDEN
A000070,P00017,AIR_CONDITIONING
A000071,P00017,SWIMMING_POOL
A000072,P00018,SECURITY
A000073,P00018,AIR_CONDITIONING
A000074,P00018,GARDEN
A000075,P00018,LIFT
A000076,P00019,POWER_BACKUP
A000077,P00019,GYM
A000078,P00019,SWIMMING_POOL
A000079,P00019,CLUBHOUSE
A000080,P00020,POWER_BACKUP
A000081,P00020,SWIMMING_POOL
A000082,P00020,GYM
A000083,P00021,SECURITY
A000084,P00021,SWIMMING_POOL
A000085,P00021,AIR_CONDITIONING
A000086,P00022,SECURITY
A000087,P00022,SWIMMING_POOL
A000088,P00022,POWER_BACKUP
A000089,P00022,CLUBHOUSE
A000090,P00022,AIR_CONDITIONING
A000091,P00022,WIFI
A000092,P00023,GARDEN
A000093,P00023,POWER_BACKUP
A000094,P00023,SWIMMING_POOL
A000095,P00024,SWIMMING_POOL
A000096,P00024,PARKING
A000097,P00024,GYM
A000098,P00024,CLUBHOUSE
A000099,P00024,POWER_BACKUP
A000100,P00024,LIFT
A000101,P00025,CLUBHOUSE
A000102,P00025,SECURITY
A000103,P00025,AIR_CONDITIONING
A000104,P00025,GYM
A000105,P00025,LIFT
A000106,P00026,GARDEN
A000107,P00026,PARKING
A000108,P00026,LIFT
A000109,P00026,WIFI
A000110,P00026,AIR_CONDITIONING
A000111,P00027,POWER_BACKUP
A000112,P00027,WIFI
A000113,P00028,SECURITY
A000114,P00028,AIR_CONDITIONING
A000115,P00028,WIFI
A000116,P00029,PARKING
A000117,P00029,SECURITY
A000118,P00029,LIFT
A000119,P00030,PARKING
A000120,P00030,SECURITY
A000121,P00030,POWER_BACKUP
A000122,P00030,LIFT
A000123,P00030,WIFI
A000124,P00031,GARDEN
A000125,P00031,LIFT
A000126,P00031,WIFI
A000127,P00031,GYM
A000128,P00031,AIR_CONDITIONING
A000129,P00031,CLUBHOUSE
A000130,P00032,GYM
A000131,P00032,AIR_CONDITIONING
A000132,P00032,SWIMMING_POOL
A000133,P00032,PARKING
A000134,P00032,CLUBHOUSE
A000135,P00033,GYM
A000136,P00033,CLUBHOUSE
A000137,P00033,AIR_CONDITIONING
A000138,P00033,PARKING
A000139,P00033,LIFT
A000140,P00034,WIFI
A000141,P00034,SWIMMING_POOL
A000142,P00034,LIFT
A000143,P00034,PARKING
A000144,P00034,GARDEN
A000145,P00035,CLUBHOUSE
A000146,P00035,SECURITY
A000147,P00036,LIFT
A000148,P00036,AIR_CONDITIONING
A000149,P00037,CLUBHOUSE
A000150,P00037,AIR_CONDITIONING
A000151,P00037,SWIMMING_POOL
A000152,P00037,SECURITY
A000153,P00038,POWER_BACKUP
A000154,P00038,WIFI
A000155,P00038,CLUBHOUSE
A000156,P00038,LIFT
A000157,P00038,GARDEN
A000158,P00038,SWIMMING_POOL
A000159,P00039,POWER_BACKUP
A000160,P00039,SECURITY
A000161,P00039,CLUBHOUSE
A000162,P00039,SWIMMING_POOL
A000163,P00039,LIFT
A000164,P00040,SECURITY
A000165,P00040,GYM
A000166,P00041,WIFI
A000167,P00041,SECURITY
A000168,P00042,SWIMMING_POOL
A000169,P00042,PARKING
A000170,P00042,WIFI
A000171,P00042,AIR_CONDITIONING
A000172,P00042,POWER_BACKUP
A000173,P00043,POWER_BACKUP
A000174,P00043,GYM
A000175,P00044,CLUBHOUSE
A000176,P00044,PARKING
A000177,P00044,AIR_CONDITIONING
A000178,P00044,POWER_BACKUP
A000179,P00044,SWIMMING_POOL
A000180,P00045,POWER_BACKUP
A000181,P00045,PARKING
A000182,P00045,WIFI
A000183,P00046,SWIMMING_POOL
A000184,P00046,WIFI
A000185,P00046,LIFT
A000186,P00046,AIR_CONDITIONING
A000187,P00046,SECURITY
A000188,P00047,GYM
A000189,P00047,CLUBHOUSE
A000190,P00047,GARDEN
A000191,P00047,WIFI
A000192,P00048,GARDEN
A000193,P00048,POWER_BACKUP
A000194,P00048,SECURITY
A000195,P00049,WIFI
A000196,P00049,CLUBHOUSE
A000197,P00049,GYM
A000198,P00049,SECURITY
A000199,P00049,SWIMMING_POOL
A000200,P00049,GARDEN
A000201,P00050,GARDEN
A000202,P00050,SECURITY
A000203,P00050,PARKING
A000204,P00050,CLUBHOUSE
A000205,P00050,AIR_CONDITIONING
A000206,P00050,GYM
A000207,P00051,POWER_BACKUP
