feature,dtype,unique_values,missing_values,mean,std,min,max,risk_0_mean,risk_1_mean,risk_0_std,risk_1_std,correlation_with_risk,standardized_mean_difference,abs_correlation,abs_smd
monthly_income,int64,2550,0,135657.83767798467,64864.471829973176,25046.0,249989.0,136227.42052818192,134813.27311457577,64657.88240852918,65163.36337240566,-0.010692910254713143,-0.021785905465909555,0.010692910254713143,0.021785905465909555
historical_invoice_count,float64,96,0,12.669149324571011,11.442933910063836,2.0,102.0,12.64916248930187,12.698785351704133,11.457232445438287,11.42215403200392,0.002126926816295235,0.00433777401573901,0.002126926816295235,0.00433777401573901
late_payment_count,float64,57,0,6.491018619934283,6.2679274174796245,0.0,60.0,6.4811101601662795,6.505710659898477,6.238409381182983,6.311696769627316,0.0019249883037999339,0.003920298362387879,0.0019249883037999339,0.003920298362387879
missed_payment_count,int64,26,0,2.735487404162103,2.8082864703328116,0.0,26.0,2.7151852304682724,2.765591007976795,2.829508177112672,2.7763753721878257,0.00880333107052987,0.017982361980648783,0.00880333107052987,0.017982361980648783
avg_days_late,float64,1634,0,6.760776443323997,4.971307290781787,0.0,45.0,6.7512776101969,6.774861098172896,4.8949367003610575,5.082626938130118,0.002326727659674402,0.00472646775970218,0.002326727659674402,0.00472646775970218
max_days_late,int64,10,0,18.077729098211027,14.722758923412155,0.0,45.0,18.078371439051228,18.076776649746193,14.66338389177254,14.811026630589216,-5.312784963712406e-05,-0.00010821382134422542,5.312784963712406e-05,0.00010821382134422542
historical_outstanding,float64,2579,0,95612.16502373129,203172.6234064135,0.0,3402500.0,97311.8474141093,93091.91443074693,211301.81210819303,190462.83321588257,-0.010187051226240232,-0.02097878896945375,0.010187051226240232,0.02097878896945375
rent_to_income_ratio,float64,5910,0,0.5604183195782325,1.249379529845462,0.0,24.00147519822976,0.5662711525941123,0.5517398712031635,1.2815727984940324,1.2000603649823995,-0.0057045008745619,-0.011704750885874447,0.0057045008745619,0.011704750885874447
payment_completion_ratio,float64,432,0,0.778004066835778,0.17015927877275325,0.0,1.0,0.7808508341695132,0.7737829446416845,0.16940649472858266,0.17118997083075105,-0.020372402174311646,-0.04150244260685302,0.020372402174311646,0.04150244260685302
late_payment_count_delta,float64,9,0,0.8459656809054399,0.8856882780447421,0.0,8.0,0.8508375106981294,0.8387418419144308,0.8859263010548575,0.885326024667913,-0.0066981846169807315,-0.013657758314194041,0.0066981846169807315,0.013657758314194041
missed_payment_count_delta,float64,6,0,0.38627236217597666,0.6014950402771179,0.0,5.0,0.3842156742878102,0.38932197244379985,0.6046529699787484,0.5967960666192872,0.004163726967611997,0.008500050884579684,0.004163726967611997,0.008500050884579684
recent_late_payment_count_3m,float64,18,0,2.329390288426433,1.854567004616133,0.0,17.0,2.3433182540652893,2.308738216098622,1.8486791942936989,1.8631553356901118,-0.009145154803536523,-0.018632174850268097,0.009145154803536523,0.018632174850268097
recent_missed_payment_count_3m,float64,11,0,1.0664841182913471,1.0795165066602113,0.0,10.0,1.0576476341851082,1.0795866569978245,1.086654449820922,1.0687594026666225,0.009967726583046276,0.020356431044455305,0.009967726583046276,0.020356431044455305
recent_avg_days_late_3m,float64,9614,0,6.525033580263416,4.794082987293776,0.0,45.0,6.519674956224756,6.532979226748585,4.755938248340404,4.850296497568001,0.0013611113136839039,0.002769790474709756,0.0013611113136839039,0.002769790474709756
recent_payment_completion_ratio_3m,float64,6610,0,0.7754859912714631,0.17704303828470266,0.0,1.0,0.7785835915219375,0.7708929397035463,0.17597227860234055,0.17852801026193219,-0.02130553382275041,-0.04338756387876349,0.02130553382275041,0.04338756387876349
recent_late_payment_count_6m,float64,28,0,4.0537422416940485,3.2159652952607445,0.0,27.0,4.066022741166401,4.035532994923858,3.196798463415554,3.244236761745019,-0.004649974601931018,-0.009467086664400161,0.004649974601931018,0.009467086664400161
recent_missed_payment_count_6m,float64,16,0,1.8630156991602775,1.675204577520946,0.0,15.0,1.8498593960141827,1.8825235678027556,1.6910492398911128,1.6513140377585283,0.00956339126422959,0.019544173423083296,0.00956339126422959,0.019544173423083296
recent_avg_days_late_6m,float64,12726,0,6.315797213231159,4.736341852032583,0.0,45.0,6.312489849487649,6.3207012973606345,4.706592132919281,4.780323051657342,0.0008503247577306431,0.001731057932258007,0.0008503247577306431,0.001731057932258007
recent_payment_completion_ratio_6m,float64,11973,0,0.7732326225936685,0.18349534005103993,0.0,1.0,0.7761277006903387,0.7689398662933304,0.1825679453759688,0.18478671354521115,-0.019212379094245145,-0.03913222887240374,0.019212379094245145,0.03913222887240374
late_payment_trend,float64,9,0,0.7454180357794815,0.8814873624666485,0.0,8.0,0.7496026409096467,0.7392131979695431,0.8807469172162741,0.8825875483929186,-0.00578075144263463,-0.01178385324237246,0.00578075144263463,0.01178385324237246
missed_payment_trend,float64,8,0,0.29759036144578316,0.6256572275943952,-2.0,5.0,0.2961853527326079,0.2996736765772299,0.6299945979893657,0.6191925419236431,0.002734566285610185,0.005584741181442963,0.002734566285610185,0.005584741181442963
payment_completion_trend,float64,2625,0,0.0028306114520734995,0.089613208742586,-0.5,1.0,0.0023910725622298956,0.0034823497733263696,0.08857640465027634,0.09112898392499862,0.005972706613357686,0.012143955704965844,0.005972706613357686,0.012143955704965844
