snapshot_month,count,mean,risk_percentage
2024-01-01,8,0.375,37.5
2024-02-01,78,0.3717948717948718,37.17948717948718
2024-03-01,190,0.4631578947368421,46.31578947368421
2024-04-01,342,0.37719298245614036,37.719298245614034
2024-05-01,483,0.39751552795031053,39.75155279503105
2024-06-01,632,0.40348101265822783,40.348101265822784
2024-07-01,778,0.40359897172236503,40.3598971722365
2024-08-01,893,0.3762597984322508,37.62597984322508
2024-09-01,1007,0.39821251241310823,39.821251241310826
2024-10-01,1120,0.39107142857142857,39.107142857142854
2024-11-01,1227,0.38875305623471884,38.87530562347188
2024-12-01,1333,0.4118529632408102,41.18529632408102
2025-01-01,1427,0.41065171688857743,41.065171688857745
2025-02-01,1474,0.39620081411126185,39.620081411126186
2025-03-01,1521,0.4095989480604865,40.95989480604865
2025-04-01,1572,0.4351145038167939,43.51145038167939
2025-05-01,1584,0.4185606060606061,41.85606060606061
2025-06-01,1604,0.4139650872817955,41.39650872817955
2025-07-01,1624,0.4131773399014778,41.31773399014778
2025-08-01,1662,0.39951865222623345,39.95186522262335
2025-09-01,1677,0.38223017292784733,38.22301729278473
2025-10-01,1706,0.3892145369284877,38.921453692848765
2025-11-01,1725,0.3982608695652174,39.82608695652174
2025-12-01,1723,0.4004643064422519,40.04643064422519
