snapshot_month,count,risk_percentage
2024-01-01,8,37.5
2024-02-01,78,37.18
2024-03-01,190,46.32
2024-04-01,342,37.72
2024-05-01,483,39.75
2024-06-01,632,40.35
2024-07-01,778,40.36
2024-08-01,893,37.63
2024-09-01,1007,39.82
2024-10-01,1120,39.11
2024-11-01,1227,38.88
2024-12-01,1333,41.19
2025-01-01,1427,41.07
2025-02-01,1474,39.62
2025-03-01,1521,40.96
2025-04-01,1572,43.51
2025-05-01,1584,41.86
2025-06-01,1604,41.4
2025-07-01,1624,41.32
2025-08-01,1662,39.95
2025-09-01,1677,38.22
2025-10-01,1706,38.92
2025-11-01,1725,39.83
2025-12-01,1723,40.05
