snapshot_month,tenant_count,record_count,high_risk_count,high_risk_rate
2024-01-01,8,8,3,0.375
2024-02-01,75,75,29,0.38666666666666666
2024-03-01,174,174,81,0.46551724137931033
2024-04-01,321,321,132,0.411214953271028
2024-05-01,446,446,190,0.4260089686098655
2024-06-01,579,579,235,0.4058721934369603
2024-07-01,700,700,303,0.4328571428571429
2024-08-01,809,809,305,0.377008652657602
2024-09-01,930,930,397,0.4268817204301075
2024-10-01,1003,1003,385,0.38384845463609174
2024-11-01,1117,1117,466,0.41718889883616833
2024-12-01,1206,1206,499,0.41376451077943616
2025-01-01,1312,1312,535,0.40777439024390244
2025-02-01,1357,1357,536,0.3949889462048637
2025-03-01,1369,1369,543,0.3966398831263696
2025-04-01,1415,1415,573,0.4049469964664311
2025-05-01,1435,1435,596,0.41533101045296167
2025-06-01,1422,1422,588,0.41350210970464135
2025-07-01,1457,1457,606,0.41592312971859985
2025-08-01,1484,1484,601,0.4049865229110512
2025-09-01,1514,1514,607,0.4009247027741083
2025-10-01,1543,1543,647,0.41931302657161373
2025-11-01,1539,1539,583,0.3788174139051332
2025-12-01,1556,1556,605,0.38881748071979433
