column,missing_count,missing_percentage
property_id,0,0.0
snapshot_month,0,0.0
property_age_years,0,0.0
size_sqft,0,0.0
bedrooms_bhk,0,0.0
amenity_count,0,0.0
historical_maintenance_count,0,0.0
maintenance_count_last_90d,0,0.0
historical_maintenance_cost,0,0.0
historical_avg_cost,0,0.0
days_since_last_maintenance,0,0.0
dominant_issue_category,0,0.0
next_month_maintenance_count,0,0.0
next_month_maintenance_cost,0,0.0
maintenance_risk_label,0,0.0
inspection_count,0,0.0
needs_attention_count,0,0.0
equipment_count,0,0.0
avg_equipment_age_years,0,0.0
critical_equipment_count,0,0.0
