,count,mean,std,min,25%,50%,75%,max
property_age_years,18000.0,15.536,8.485794275351154,1.0,8.0,16.0,22.0,30.0
size_sqft,18000.0,1015.1,291.53338018443884,450.0,800.0,1000.0,1200.0,1850.0
bedrooms_bhk,18000.0,2.072,0.7421904085805965,1.0,2.0,2.0,3.0,4.0
amenity_count,18000.0,3.078,1.6840645948544262,1.0,2.0,3.0,4.0,8.0
historical_maintenance_count,18000.0,1.9127222222222222,3.9331310409201707,0.0,0.0,0.0,2.0,33.0
maintenance_count_last_90d,18000.0,0.3101111111111111,0.6971149174747919,0.0,0.0,0.0,0.0,6.0
historical_maintenance_cost,18000.0,5776.763228888889,13382.59205700562,0.0,0.0,0.0,4366.93,123625.1
historical_avg_cost,18000.0,1252.2014233333332,1486.8418152845502,0.0,0.0,0.0,2488.68,8522.0
days_since_last_maintenance,18000.0,117.80666666666667,125.22210041327722,0.0,32.0,91.0,152.0,1034.0
next_month_maintenance_count,18000.0,0.1608888888888889,0.4272813506559295,0.0,0.0,0.0,0.0,2.0
next_month_maintenance_cost,18000.0,491.3038755555555,1467.8377164314525,0.0,0.0,0.0,0.0,16967.44
maintenance_risk_label,18000.0,0.1371111111111111,0.34397416698910965,0.0,0.0,0.0,0.0,1.0
inspection_count,18000.0,1.7642222222222221,1.3792764108306248,0.0,1.0,2.0,3.0,9.0
needs_attention_count,18000.0,0.27694444444444444,0.5448103014765292,0.0,0.0,0.0,0.0,4.0
equipment_count,18000.0,3.164,1.3613254408634243,1.0,2.0,3.0,4.0,6.0
avg_equipment_age_years,18000.0,5.381,1.559126052812361,1.4,4.3,5.4,6.5,10.3
critical_equipment_count,18000.0,0.918,0.9567271562424418,0.0,0.0,1.0,1.0,4.0
